respondent_id,date_of_birth,gender,county,dependents_category,all_direct_covered,willingness_to_pay,amount_selected,age,age_band
12029296767.0,1964-07-17,Male,Kilifi,1-2,Yes,,,62,56–65 years
12029278461.0,1970-10-02,Female,Kwale,More than 4,Yes,,,55,46–55 years
12029224700.0,2020-09-29,Male,Kwale,1-2,No,Unwilling,,5,Less than 25 years
12029197462.0,1988-04-14,Male,Isiolo,2-4,Yes,,,38,36–45 years
12029042139.0,1979-06-20,Female,Nyeri,More than 4,No,Neutral,,47,46–55 years
12029027182.0,1977-08-23,Male,Murang'a,2-4,No,Willing,"Kes 10,000 – Kes 20,000",48,46–55 years
12029020755.0,1970-09-17,Female,Nyeri,More than 4,No,Very willing,"Kes 10,000 – Kes 20,000",55,46–55 years
12028777818.0,1987-03-06,Male,Murang'a,2-4,Yes,,,39,36–45 years
12028766397.0,1976-11-16,Female,Kajiado,More than 4,Yes,,,49,46–55 years
12027756396.0,1981-08-05,Female,Kajiado,More than 4,No,Unwilling,,45,36–45 years
12027542286.0,2020-09-28,Female,Kirinyaga,More than 4,No,Very unwilling,,5,Less than 25 years
12027425573.0,1962-09-29,Male,Nyeri,1-2,No,Unwilling,,63,56–65 years
12027423891.0,1972-04-06,Male,Nyeri,More than 4,Yes,,,54,46–55 years
12027415492.0,1962-09-29,Male,Nyeri,1-2,No,Unwilling,,63,56–65 years
12027386503.0,1991-11-17,Male,Nyeri,1-2,Yes,,,34,25–35 years
12027364389.0,1987-10-01,Female,Isiolo,2-4,Yes,,,38,36–45 years
12027153675.0,1977-07-17,Male,Murang'a,2-4,Yes,,,49,46–55 years
12027052813.0,1991-01-12,Male,Kajiado,More than 4,No,Neutral,,35,25–35 years
12026990576.0,,Male,Isiolo,More than 4,No,Willing,"Kes 10,000 – Kes 20,000",,
12026891191.0,1989-01-05,Female,Isiolo,More than 4,No,Willing,"Kes 10,000 – Kes 20,000",37,36–45 years
12026882075.0,1965-10-04,Male,Kirinyaga,2-4,Yes,,,60,56–65 years
12026610739.0,1986-09-08,Male,Kirinyaga,2-4,Yes,,,39,36–45 years
12026609941.0,1972-02-05,Male,Kirinyaga,More than 4,Yes,,,54,46–55 years
12026580507.0,1977-12-31,Female,Kirinyaga,2-4,Yes,,,48,46–55 years
12026572744.0,1976-09-21,Male,Kirinyaga,2-4,Yes,,,49,46–55 years
